p_iso3,p_country_name,fsi_2022_ss_p,contr_ss_fdi_inward,fdi_inward,contr_ss_fdi_eq_inward,fdi_eq_inward,contr_ss_fdi_debt_inward,fdi_debt_inward,contr_ss_fdi_outward,fdi_outward,contr_ss_fdi_eq_outward,fdi_eq_outward,contr_ss_fdi_debt_outward,fdi_debt_outward,contr_ss_pi_inward,pi_inward,contr_ss_pi_eq_inward,pi_eq_inward,contr_ss_pi_debt_inward,pi_debt_inward,contr_ss_pi_outward,pi_outward,contr_ss_pi_eq_outward,pi_eq_outward,contr_ss_pi_debt_outward,pi_debt_outward,contr_ss_imports_tot,imports_tot,contr_ss_imports_agric,imports_agric,contr_ss_imports_chemic,imports_chemic,contr_ss_imports_electro,imports_electro,contr_ss_imports_machine,imports_machine,contr_ss_imports_metals,imports_metals,contr_ss_imports_mineral,imports_mineral,contr_ss_imports_stone,imports_stone,contr_ss_imports_textil,imports_textil,contr_ss_imports_vehicle,imports_vehicle,contr_ss_exports_tot,exports_tot,contr_ss_exports_agric,exports_agric,contr_ss_exports_chemic,exports_chemic,contr_ss_exports_electro,exports_electro,contr_ss_exports_machine,exports_machine,contr_ss_exports_metals,exports_metals,contr_ss_exports_mineral,exports_mineral,contr_ss_exports_stone,exports_stone,contr_ss_exports_textil,exports_textil,contr_ss_exports_vehicle,exports_vehicle
USA,United States,67.425003,232.04167,105313.639913506,258.62909,96482.0914379364,226.33644,11387.18035409,175.45421,36828.098,204.12668,39204.074,248.0099,3653,303.17593,170654,442.99503,143671,218.34332,26983,158.25195,21684.84990703,227.90855,18594.60930246,110.51222,3090.24060457,127.76869,29706.742,87.936226,1314.761586162304,181.94911,8729.3704742833,154.88881,2346.022986142121,167.22717,5742.627162033902,107.73827,629.9080906620324,297.00012,9079.257422210592,114.46462,225.2896264274195,85.004753,268.5950338815397,138.96059,1370.908067255884,121.79015,21953.512,159.9543,6505.202592297813,128.08167,2098.138315231225,127.79024,923.7892186297159,151.98224,2913.000834406522,202.16635,3349.818933899511,194.88129,2432.461752422412,203.03958,1117.50682060508,115.35555,571.6443016316001,181.52803,2041.948912658397
NLD,Netherlands,64.625,221.75546,134646.0017,226.96539,95516.2369,241.17097,20179.55408459,103.4172,11047.146,234.77873,87375.953,191.31293,2456.1748,120.3466,15635.7082,146.32013,7583.478,128.48213,8053.4573,30.977407,238.24739698,42.349228,174.75335159,26.651968,63.49404539,46.329498,2074.6184,46.319172,281.4554900350519,72.029854,793.3310976725155,48.387524,104.7746319181677,62.502499,439.2036198996431,44.822021,66.43933247730975,81.371346,273.5134177665263,31.343699,6.775820082337363,36.471832,31.07597965399176,47.070629,78.04896419060975,72.181282,6694.6064,119.33935,3957.381722430139,60.942329,331.0658046653957,29.034491,15.87107082704431,46.162048,119.5642209760388,100.86454,609.3883007456502,147.55328,1546.556853735413,35.42614,8.694873839957173,41.230274,38.23340566407749,51.386658,67.84984244284779
VGB,British Virgin Islands,70.650002,131.9214,12709.0117516558,148.93655,12100.3423093758,105.4285,755.7983578200001,236.81818,59471.957,271.40591,60515.828,97.804482,147.12891,,,,,,,53.598057,553.2679194299999,80.501755,538.14644334,21.584957,15.12147609,5.9324579,1.952832,2.5584333,.0212639995068312,2.1312263,.0092130000591278,15.318601,1.49041999348253,5.6917305,.1486969963312149,,,9.1321678,.1733329925537109,,,7.2111397,.1076860033497214,1.877075,.0022190001010895,14.767607,25.702602,27.175047,20.94899737603765,2.8001626,.0143980003520846,.70760804,.0001030000001192,10.477445,.6267689978480339,.68346298,.0000850000008941,4.3991714,.018375,9.8461695,.083693000793457,,,26.153124,4.010180076172575
CHE,Switzerland,70.050003,125.08549,11698.3065758223,133.92885,9500.628982872289,160.1938,2862.89271951935,,,72.59977,1250.6995,155.03024,632.71368,103.87772,4867.60111887687,131.61797,2671.98197034245,106.10204,2195.61914853442,72.7108,1491.49351469,104.35786,1265.89051171,51.795181,225.60300298,60.70607,2259.4011,37.302715,71.1672517450028,119.39924,1749.255114473484,57.398514,84.66217718737107,66.074432,251.1919438076811,47.331219,37.87262871334597,26.886572,4.776414907131111,45.629299,10.11985092831217,28.704973,7.334241969976574,49.152481,43.02144844530523,55.965836,1510.6079,55.422951,191.8922327917857,40.21846,46.06435544645391,21.338884,3.050073002838064,44.76667,52.7888200376255,46.388584,28.69745972992992,41.694874,16.89269383876398,221.82262,1033.334250839505,27.091808,5.250973005432403,81.829865,132.6370213338081
BHS,Bahamas,75.474998,122.09462,5559.51609083142,120.16738,3506.99524279142,185.33092,2265.4631833,277.50739,52804.688,317.52997,53474.496,134.88165,212.94234,161.73677,9389,105.33877,700,209.91634,8689,68.131706,627.07250889,95.379173,493.88596595,54.347481,133.18654294,8.0856361,2.728255,,,,,,,,,16.300695,.7905809936523438,24.89506,1.937673950195312,,,,,,,34.028893,173.5289,36.432453,27.85474181745481,12.764649,.75259400517412,6.7634892,.0496310000480153,15.739437,1.172439969245228,11.387718,.2169530001314124,106.09264,142.2172389530111,26.081793,.8583830180685036,10.968909,.1780990006129723,12.275498,.2288189934156835
CYM,Cayman Islands,72.625,119.78759,7423.95903406602,127.46104,5917.80246135602,152.03302,1768.39717841,256.22675,58772.59,309.09549,69746.641,128.80952,262.2406,222.81714,34712.95283165,201.81932,6961.04204236,275.42477,27751.91078929,124.32303,5387.378900600001,185.11896,5105.88865188,62.138794,281.49024872,6.6475191,2.143749,,,1.2131997,.0013259999752045,15.541077,1.21430800780654,1.3089042,.0014110000133514,15.312759,.9267039794921875,,,,,,,,,20.831829,56.29414,32.593842,28.20286919965968,4.3015127,.0407240008637309,4.5275145,.02105100083258,11.734631,.6870430056581972,6.4875183,.0567210000189953,31.090313,5.060860980801285,14.162703,.1943389988313429,8.8088675,.1304319982747547,50.027203,21.9000960007906
SGP,Singapore,67.25,110.37752,11603.4378501133,111.77557,7972.848041283301,154.91115,3737.30847652,51.772438,968.59454,31.759787,151.15509,75.790222,106.71867,,,,,,,15.249195,19.86132545,22.254423,17.7219836,19.027912,16.1470388019061,40.46484,965.99139,25.947966,34.57894090568856,58.641819,299.1669395329815,68.933876,211.7036587003171,54.780277,206.6430966860596,34.555664,21.2756626322302,33.80669,13.70712489259243,22.794012,1.821158980665728,22.980801,5.432780026018619,68.980705,171.6620935995886,66.43959,3648.4343,67.39727,498.1477605662033,34.326771,41.34569809936232,27.878805,9.818846048997482,50.123901,106.9682604120697,70.681908,146.5472294894489,203.50636,2835.4883635621,24.758423,2.074126046628575,21.399118,3.735564925579238,23.102312,4.308621997419745
JPN,Japan,63.125,110.23539,20432.7124067645,122.8552,18714.204160523,99.185585,1734.10144318248,19.069891,85.56752,30.485952,236.32379,45.793526,41.613194,96.541054,9971.13610648461,122.74023,5529.80271615362,98.194893,4441.333390330989,83.516197,5767.63485477178,17.065226,14.12594208,111.58242,5756.05519637171,52.889763,3813.0525,18.99555,23.98144711519778,62.231277,632.0268701971545,66.749115,339.7700117398426,78.23333,1064.000145114643,67.459099,279.8111492481344,35.110909,27.14456087080948,49.143703,32.26318500719965,30.108885,21.59875110630773,114.62799,1392.456404599629,57.735088,4232.1714,95.582703,2511.812635598953,51.725021,250.0641916511121,20.258814,6.660367061339668,37.335381,78.1448052698574,80.794647,386.9178295199678,117.01491,952.873911572257,38.741634,14.04811684527248,31.844864,21.76230307705212,25.201622,9.887252860597801
ESP,Spain,56.575001,108.86748,52753.204990814,123.91119,51465.207091964,69.9916,1633.2701,57.617855,6325.9668,67.162277,6772.915,51.059914,154.61459,46.571434,3000.2595,,,,,27.876301,574.8868535800001,25.490192,126.18048777,34.314503,448.70636581,33.719429,2648.4392,30.983414,278.9324227418953,51.609688,966.2609210029952,42.036007,227.4595867286697,37.533009,314.9181704404298,41.156208,170.3102875580583,61.638466,393.6438901923522,43.913357,61.69996271441877,32.987091,76.13217347625456,40.041176,159.0821541160643,41.09462,4090.6284,65.31601,2148.323747832841,33.005405,174.139054843659,21.418411,21.09644415132701,24.135563,56.58510084748222,34.202148,78.67242758631764,98.178711,1508.534351553045,27.282755,13.15044174895319,22.38051,20.24827399087348,34.816643,69.87830084525794
LUX,Luxembourg,54.974998,101.33868,55082.5679247996,109.9046,46490.4738827796,113.36739,8985.014845469999,64.878181,11691.922,93.333107,23531.02,104.20523,1701.4252,100.36185,38872.2881424654,127.07357,21293.1560986956,102.59868,17579.1320437698,49.183189,4087.53221114,73.814621,3966.7445626,20.329178,120.78764854,8.3026352,51.183655,2.8738184,.2881530051752925,12.037509,15.8724771674294,7.8071046,1.886443990384694,13.695539,19.80747310447227,13.183966,7.247813980314881,2.8523893,.0505019989013672,5.219255,.1341079989625141,12.144321,4.918016076611355,6.7318482,.9786739680767059,9.2122974,59.658607,7.0082846,3.435658980642678,7.3346238,2.474051035442855,5.1689329,.383869992560707,10.914591,6.774640961332246,15.067444,8.707936773732538,25.76713,35.30494178124122,3.0982451,.0249319995418191,5.739655,.4421500005694106,9.9483547,2.110422999687493
BMU,Bermuda,70.125,100.63501,6033.466935989801,114.84351,5932.897212099801,,,96.448967,4296.4888,109.59788,4261.585,,,55.346062,729.1643604490109,45.836094,111.770774980774,69.735344,617.393585468237,30.374384,107.68730887,45.611904,104.68218613,12.317502,3.00512274,.46871355,.00103,.59635568,.0002880000136793,.74152768,.0004149999916553,.35596585,.000019999999553,.57270461,.0001620000004768,,,,,,,.77867377,.000144999999553,,,8.1341152,4.593369,12.062539,1.959395938264672,4.1288753,.0493629999868572,4.2697935,.0242009998969734,9.1204176,.4421190198939294,6.9610991,.0960420003384352,20.228035,1.910422974621877,8.1200209,.0502010001093149,5.9857588,.0560920011037961,2.846941,.0055320000648499
CHL,Chile,59.775002,78.498436,12052.63988692,88.553246,11448.28495592,60.921009,656.3966676699999,58.750439,4087.2729,68.578308,4394.4502,86.149666,452.60126,49.240177,2161.24293644268,47.389637,519.9184135307841,59.832508,1641.3245229119,13.880816,43.25802347,20.838898,42.01863303,5.6786461,1.23939044,41.824684,3080.2942,53.994904,899.734113210042,44.186726,369.5907297696089,13.591949,4.686295057092677,20.898737,33.13313793447521,93.846588,1230.651325059133,77.352684,474.1535480375886,25.075466,7.001431782316416,15.548348,4.85885186659731,33.442211,56.48467481052131,47.940655,3958.1458,60.930923,1062.915643616411,56.760773,539.7973117218667,51.01725,173.7574030532737,50.549618,316.8313918058891,60.732475,268.4541729077034,90.93705,730.5847446804843,47.694481,42.81784465927817,45.427135,103.1974450577921,89.349709,719.7899035124163
JEY,Jersey,63.450001,74.175713,5943.96209398717,84.900681,5897.28663681717,,,,,28.636806,187.02934,,,37.685665,566.324,57.045887,530.09,20.074615,36.234,12.22244,17.26184171,18.326807,16.70589283,5.1990395,.55594888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,South Korea,63.799999,72.918541,5374.070574056949,82.704109,5187.98341340695,76.333359,718.28765915,12.732799,23.145269,19.111679,52.909187,27.174189,7.9015985,99.535988,9930.6,87.55706,1824.1,123.8949,8106.5,42.321304,682.00749862,,,56.581577,682.00749862,58.106159,4594.6338,18.199558,19.16588197583833,72.5867,911.3958124485307,109.04274,1346.062216450904,72.099655,756.8193309164399,73.984085,335.4167877229573,37.725689,30.59811717817932,44.66169,22.00572008765489,46.348244,71.59306859382043,109.45264,1101.576644588687,57.596771,3818.2524,93.216202,2117.142436153137,37.576839,87.12379396901979,29.899141,19.456228879545,24.335161,19.66380504179432,69.323532,222.0953410563225,129.96555,1186.377639827546,64.068481,57.73563495032815,51.418388,83.2469765476454,35.639507,25.41041368633509
DEU,Germany,56.700001,72.201866,15085.9674,73.124062,10368.995,102.87274,5083.8753,,,25.803516,376.53882,68.633972,368.12997,58.365311,5789.4578,68.184776,2491.013,64.441536,3298.4448,18.533964,165.63625706,27.064346,148.06044065,11.731071,17.57581641,52.3787,9731.6641,33.362267,341.3905224355869,78.182922,3293.139440496416,65.450813,841.70239045991,79.82547,2969.995398325938,61.788147,564.9681304224169,27.172176,33.05938951455057,85.949844,453.5277885124757,37.477345,109.4500698634749,77.354622,1124.432356753423,42.357304,4391.3042,65.285385,2103.111531172972,40.682293,319.6912781167468,36.016014,98.33495581718162,48.762482,457.467937319138,45.822308,185.4671004461342,82.18782,867.5592920488341,66.498253,186.6723372917357,35.07291,76.39537113729538,39.0434,96.60465017188993
PAN,Panama,72.724998,70.840599,1516.59184529626,80.444145,1469.37727884626,60.177238,108.31402569,137.96553,9062.2305,157.67027,9143.585,79.58902,61.099461,43.410969,253.551422431325,19.30088,6.01366398913429,57.355968,247.537758442191,29.9828,74.6381722,44.322342,69.21632406000001,16.725672,5.42184814,27.584585,151.29213,11.814596,1.613746979378164,25.108021,11.60929320827965,24.239748,4.550841960728168,24.411201,9.040509064680432,29.149391,6.313802113872953,85.944427,111.3445078125,20.012787,.6093759933896363,30.266745,6.136219029076398,6.5850148,.0738309999406338,41.236561,431.27084,36.527744,39.20819920106651,48.109966,56.2747832629981,33.78487,8.639363952642306,50.302402,53.45194967496139,39.225761,12.38352377975674,111.67182,231.6336765014501,53.082623,10.10649195992202,39.34584,11.4800069314572,36.048271,8.092870990544558
CHN,China,66.449997,69.348724,3205.06007179,73.166199,2490.46347179,86.097672,714.5966,41.423698,552.54639,39.887951,333.49634,,,60.462067,1543.1757834,84.829781,1150.1426004,51.043629,393.033183,20.597363,54.51025596,29.855587,47.65583892,13.796164,6.85441704,131.39526,36834.516,77.145912,1012.083431005908,163.88737,7272.83432345071,248.85513,11092.92018051056,179.71127,8125.497282839469,161.57375,2422.220273488499,70.026482,135.6755105675692,147.1893,546.12249394961,195.23363,3709.935766406565,162.88646,2517.226823053658,170.00311,68072.578,263.18436,33035.9972205065,74.799271,476.43043027685,55.682278,87.12942594844661,54.872482,156.3003792574011,171.07936,2314.310773031951,435.00171,30842.00177443932,76.554718,68.29014790447103,136.4995,1079.785878825579,31.637871,12.32451314032543
ITA,Italy,54.849998,60.455791,11937.1220423,63.569992,9182.697302100001,78.048477,2992.5753998,21.930357,460.91858,27.946121,644.75635,53.736576,238.15065,32.386368,1333.2706774478,27.511763,220.5601651477,40.61042,1112.7105123001,13.147784,79.70143648999999,19.402994,73.53779312,7.4890313,6.16364337,35.691227,4150.1641,29.111732,305.7361252816222,48.662823,1070.346101073095,44.152237,348.2807773416415,58.161919,1548.478984784001,44.467033,283.8447462946183,25.725004,37.81342290544882,45.078297,88.19197017345485,31.68759,89.17337901860849,48.704288,378.2981522546411,34.132378,3097.1792,56.278984,1815.979929539524,28.937687,155.0829025748981,25.021748,44.44592266223673,33.970364,208.4787799121606,39.459259,159.6396445700821,56.48288,379.564278570056,69.822739,291.2714303027078,21.526968,23.8099389301429,20.520952,18.90626082591713
HKG,Hong Kong,64.949997,59.201244,2448.81435138839,53.375019,1187.42247277839,,,28.683569,225.3015,27.663328,136.62233,,,34.588943,354.830388236812,21.528381,23.0878369663356,45.045498,331.742551270476,14.741192,24.54050859,20.610012,19.25380165,11.814511,5.28670694,33.222244,731.21515,20.585808,23.61695198052749,33.518009,76.40897260899283,72.882904,342.2359381902143,48.069279,190.9718631690573,38.07132,38.91684394137282,22.853153,5.791555985093117,34.268314,8.464126934699713,40.231743,39.87047971810401,19.041172,4.938454016894102,51.873852,2375.1421,96.972008,2029.498539964592,23.909098,19.10906587382814,37.522667,32.74443771800049,33.878895,45.17793447357801,44.62709,50.45067649354506,67.783302,143.3112301425305,58.881878,38.16186733538145,31.597988,16.44997608477622,7.9288888,.2382470052782446
