p_iso3,p_country_name,fsi_2022_ss_p,contr_ss_fdi_inward,fdi_inward,contr_ss_fdi_eq_inward,fdi_eq_inward,contr_ss_fdi_debt_inward,fdi_debt_inward,contr_ss_fdi_outward,fdi_outward,contr_ss_fdi_eq_outward,fdi_eq_outward,contr_ss_fdi_debt_outward,fdi_debt_outward,contr_ss_pi_inward,pi_inward,contr_ss_pi_eq_inward,pi_eq_inward,contr_ss_pi_debt_inward,pi_debt_inward,contr_ss_pi_outward,pi_outward,contr_ss_pi_eq_outward,pi_eq_outward,contr_ss_pi_debt_outward,pi_debt_outward,contr_ss_imports_tot,imports_tot,contr_ss_imports_agric,imports_agric,contr_ss_imports_chemic,imports_chemic,contr_ss_imports_electro,imports_electro,contr_ss_imports_machine,imports_machine,contr_ss_imports_metals,imports_metals,contr_ss_imports_mineral,imports_mineral,contr_ss_imports_stone,imports_stone,contr_ss_imports_textil,imports_textil,contr_ss_imports_vehicle,imports_vehicle,contr_ss_exports_tot,exports_tot,contr_ss_exports_agric,exports_agric,contr_ss_exports_chemic,exports_chemic,contr_ss_exports_electro,exports_electro,contr_ss_exports_machine,exports_machine,contr_ss_exports_metals,exports_metals,contr_ss_exports_mineral,exports_mineral,contr_ss_exports_stone,exports_stone,contr_ss_exports_textil,exports_textil,contr_ss_exports_vehicle,exports_vehicle
SGP,Singapore,67.25,188.4548,57751.93520420761,202.03467,47081.5153701253,219.76427,10670.4323840823,164.79633,31238.41,184.60825,29685.424,3.7131941,.01255,164.22635,27766.3678995537,189.05879,11431.9771575524,209.03201,24236.3373226501,143.63141,16596.4684851126,171.15642,8062.00458928755,153.84578,8534.463895825071,99.513817,14367.792,70.532631,694.4995838504508,123.52435,2796.075799588807,152.88878,2309.708934352807,123.58804,2372.889710360371,122.97331,958.8659947569595,225.93518,4091.571382997737,149.26369,511.3850636098981,83.512093,260.7201527721439,89.271576,372.0755601146668,100.28258,12545.91,104.23611,1842.832577134899,86.37883,658.7999781439163,156.34023,1731.610582564132,111.38387,1173.781730936753,107.90591,521.421035657295,192.14194,2386.493480355447,295.58755,3529.593584975819,104.63793,436.7530461846633,91.149055,264.6236538635581
USA,United States,67.425003,155.76097,31853.9016267833,176.53203,30682.1032508406,115.87513,1528,41.746792,496.08649,47.763496,502.25024,158.13785,947,223.81024,68655,264.35043,30529,245.0099,38126,55.770287,949.11305379133,11.133744,2.16784870364464,74.505417,946.9452050876849,81.22773,7632.9897,116.2475,3037.346440073491,91.555878,1112.222597271102,76.478241,282.4137106581554,94.832672,1047.282616698712,78.763603,246.1183600740447,154.98073,1290.070298570002,60.363598,33.04095400358062,100.33238,441.6638369665884,65.387581,142.829906697019,117.60603,19767.705,153.18982,5714.297161696112,129.39175,2163.182019946129,166.00615,2025.127083725805,121.24491,1478.947229522898,108.70803,520.8104007166548,76.582367,147.6121384990364,175.73654,724.5931034310166,262.46304,6733.098833862198,91.328964,260.0396382936102
NLD,Netherlands,64.625,136.64783,31504.9457085821,150.37468,27779.3753009602,137.32579,3725.5704076219,56.805756,1830.8331,64.653465,1824.6978,,,107.042,11002.1786,96.066315,2146.1979,132.60933,8854.7536,6.6378975,2.34414572881957,,,8.8745527,2.34414572881957,34.869385,884.50092,42.598316,218.9295928827235,45.966045,206.1713586791975,42.274918,69.87216206130898,53.455845,274.7637487778682,42.398079,56.23276751668029,24.530121,7.493127207334154,20.827887,1.988138993680361,29.861164,17.05581121308601,34.966419,31.994151661871,56.302635,3177.1482,91.465424,1781.671976869996,67.127518,442.4445369998182,58.431534,129.3616034886538,48.983917,142.8586473796563,64.931915,162.5747771969279,54.779259,79.1348513011213,43.073799,15.62901000674441,87.95594,371.1843860606422,47.112362,52.28804755374789
JPN,Japan,63.125,135.9359,38314.7012287079,151.27486,34937.4385407797,134.9045,4363.2300516716,23.188843,153.85143,23.267815,105.06907,50.772411,56.715549,102.59228,11966.1000449966,83.633614,1749.4088458072,129.62474,10216.6911991894,25.728554,168.628775451124,27.209667,57.2599813195176,32.079926,136.784714850912,71.158363,9286.1514,39.017555,207.8260455128002,86.848953,1717.921196444565,94.388451,960.7380395761728,106.78643,2705.917607884261,127.79871,1902.492246736758,42.320137,47.53328347851104,81.208366,145.5814073883635,69.22261,262.4753161393779,113.04797,1335.66626398451,86.997009,14479.605,97.324257,2651.628919033879,96.834999,1640.766071384725,121.62918,1441.349970986789,87.235741,996.8313664325728,116.00916,1145.374982549632,177.1795,3307.899714379538,163.75934,1060.96853786033,136.97255,1731.758615254415,93.382851,503.0273508884162
CHN,China,66.449997,123.12827,17938.83093799,128.3911,13457.16153799,158.7758,4481.6694,146.95743,24671.566,167.25217,24585.621,,,72.392578,2648.79632279081,58.935459,385.6885157,96.415764,2648.79632279081,36.595432,305.720109650014,16.204895,7.620403521611539,48.516415,298.099706128403,136.50171,41298.105,113.50319,3223.308438772325,154.62407,6107.992441497634,231.66582,8949.361826563745,193.26184,10105.60972928357,202.84489,4792.846680411913,119.88166,680.7266145633691,176.50224,941.6990621962231,216.99901,5094.198111011256,134.02859,1402.360511150999,132.90164,32523.15,177.36192,10110.86684508931,125.66703,2259.287316290466,97.186005,463.260175588157,78.451805,456.7780025769719,266.69638,8767.589383118659,290.63998,9198.897764478355,63.354782,38.70617380533984,138.70113,1132.881699885284,62.471962,94.88627509281481
THA,Thailand,69.824997,120.27504,10705.4161501649,136.6812,10395.1671238529,98.841873,692.254901800474,37.685516,266.38013,42.964249,266.83563,19.519564,1.3,87.017883,2945.427077,89.635529,868.767335,115.8925,2945.28180900431,26.030981,70.44842192116269,3.5647106,.051936,34.802181,70.44842192116269,90.763466,7773.2988,98.408661,1345.035904080742,115.32667,1622.604907756305,98.848091,445.1099953250198,107.27491,1106.560040309111,108.88521,474.6398635339115,84.00811,149.980363212983,88.872826,76.97058647949831,90.154442,233.8946655691109,183.87721,2318.502577120451,85.570381,5558.1255,95.714378,1017.407908425819,96.110947,647.116214977454,110.21505,432.6064716161041,97.791985,566.4509950617812,109.83381,392.0968648223314,184.08263,1496.457279846592,92.055481,76.02342285615951,84.715981,165.2711090988703,145.32089,764.695700661905
MYS,Malaysia,65.75,107.79037,13238.9467142503,119.92172,12062.4373245363,98.48542,1176.509389714,,,,,,,94.810623,6545.31273746126,118.00362,3405.53676881635,126.27314,6545.31273746126,54.376877,1103.26307914279,21.168545,18.6855162222776,72.286545,1084.57756292051,74.611237,7418.5894,65.30294,675.2563956273615,94.628716,1540.02906381637,88.199203,543.2415425248743,79.797836,782.5107335723245,98.693306,607.2355929124324,161.63924,1835.471647883909,72.549011,71.93643129540828,76.26712,243.2805525558994,120.44933,1119.627245869428,81.109406,8132.1992,114.78014,3014.395708541292,84.120895,745.4387288047429,88.790543,388.6036822246504,66.615364,307.6183536931169,117.01585,814.6214581648564,173.95468,2169.556294813037,73.197052,65.66223475122824,82.448624,261.7505370574812,94.784966,364.5517896587551
HKG,Hong Kong,64.949997,105.78835,13972.5877490025,108.42527,9953.65822455456,142.9751,4018.9295244479,41.711357,692.8313,38.255489,361.31805,,,81.110519,4575.51915387592,97.543526,2147.55578485747,93.817337,2997.06557589133,37.999672,420.363937278715,29.946291,59.0623621065483,48.303356,361.301575172166,52.391697,2867.7795,38.235935,151.3335490674096,44.196259,175.1726445041541,95.572105,771.6886336704828,49.167587,204.3634920518486,57.734417,135.7213507177114,28.077044,10.74016631159186,165.36943,951.1949401112367,90.775322,457.9819356392529,23.74983,9.58278010568954,50.305702,2166.1858,57.687229,427.2565657308012,36.950466,70.53580442858033,85.032715,381.0784907919912,40.053467,74.65502557179146,34.545815,23.4022559840855,82.236931,255.9250612030258,161.56996,788.4359553961069,63.813557,135.4957842205438,26.993404,9.400771035559476
KOR,South Korea,63.799999,91.33596,10561.2357260872,99.326561,8986.97516787998,100.71372,1649.76255820722,14.617968,35.022873,16.277924,32.69125,57.663952,75.501999,56.881393,1853.3,75.760696,1181.7,54.01062,671.6,18.729,59.1093002258475,,,25.039783,59.1093002258475,65.298843,6520.8008,47.088898,331.9722687954758,88.36837,1644.471812874858,91.867935,804.945922348287,80.265381,1044.18529394289,110.2261,1109.233671434372,86.703766,371.4471314698225,60.32811,54.23618487543694,101.35508,748.6998620419869,78.834457,411.6084011205957,71.196716,7211.9063,83.651001,1529.992331583665,72.467758,624.8999317755623,85.406738,453.4807972201235,53.12114,204.5347431427562,109.63981,878.6222864907912,163.85931,2377.670537048426,89.520058,157.4968273074189,115.47261,942.8661806105317,42.252552,42.34239628314227
VGB,British Virgin Islands,70.650002,83.79657,3257.20126860142,94.466591,3087.65293848692,64.060043,169.5483301145,86.19706,2867.771,96.633583,2731.4622,,,24.630938,60.0972295046009,,,32.804615,60.0972295046009,85.017021,2208.03614464475,,,113.66372,2208.03614464475,4.9589596,1.1405981,4.4651809,.1130419996976852,2.7224965,.0192049996033311,2.7277269,.0084149998854846,2.8990593,.0196489998444449,13.276018,.7740160131826996,,,.84725648,.0000599999986589,8.9547758,.206211002137512,,,5.2239532,1.1377439,4.7207217,.1098189993798733,4.013886,.0424080000668764,,,,,4.1091733,.0184730000495911,,,6.3491898,.0224410002082586,15.652028,.9377810139805078,3.1220479,.0068219999074936
