p_iso3,p_country_name,fsi_2022_ss_p,contr_ss_fdi_inward,fdi_inward,contr_ss_fdi_eq_inward,fdi_eq_inward,contr_ss_fdi_debt_inward,fdi_debt_inward,contr_ss_fdi_outward,fdi_outward,contr_ss_fdi_eq_outward,fdi_eq_outward,contr_ss_fdi_debt_outward,fdi_debt_outward,contr_ss_pi_inward,pi_inward,contr_ss_pi_eq_inward,pi_eq_inward,contr_ss_pi_debt_inward,pi_debt_inward,contr_ss_pi_outward,pi_outward,contr_ss_pi_eq_outward,pi_eq_outward,contr_ss_pi_debt_outward,pi_debt_outward,contr_ss_imports_tot,imports_tot,contr_ss_imports_agric,imports_agric,contr_ss_imports_chemic,imports_chemic,contr_ss_imports_electro,imports_electro,contr_ss_imports_machine,imports_machine,contr_ss_imports_metals,imports_metals,contr_ss_imports_mineral,imports_mineral,contr_ss_imports_stone,imports_stone,contr_ss_imports_textil,imports_textil,contr_ss_imports_vehicle,imports_vehicle,contr_ss_exports_tot,exports_tot,contr_ss_exports_agric,exports_agric,contr_ss_exports_chemic,exports_chemic,contr_ss_exports_electro,exports_electro,contr_ss_exports_machine,exports_machine,contr_ss_exports_metals,exports_metals,contr_ss_exports_mineral,exports_mineral,contr_ss_exports_stone,exports_stone,contr_ss_exports_textil,exports_textil,contr_ss_exports_vehicle,exports_vehicle
CYM,Cayman Islands,72.625,110.99969,5906.981158560629,120.74592,5030.89731407244,120.2984,876.083844488189,56.453144,628.58777,,,,,41.934574,231.399521,60.571693,188.189415,31.922762,43.210106,,,,,,,2.3545926,.095266998,.68825364,.0003230000138283,,,,,5.1613221,.0865139999389648,3.1965561,.0084300003051758,,,,,,,,,.87968564,.0042389999,,,1.1101213,.0006999999955297,,,,,,,,,,,2.6469896,.0035390001256019,,
NLD,Netherlands,64.625,109.45325,16190.3574,103.88921,9160.3015,176.44241,7902.15264741339,58.552429,2004.964,1.9031473,.046540685,,,44.217445,775.5272,34.640102,100.6222,56.225006,674.905,,,,,,,60.353825,4586.4834,51.688438,391.1178371195765,70.13916,732.4847928345641,46.053669,90.33343932662345,47.444527,192.1021345775546,44.080406,63.19572787032556,181.2861,3024.527886056967,25.289267,3.558933081952855,23.665501,8.489835020294645,47.592232,80.67245267234743,50.119202,2241.1128,44.958435,211.5877013291842,7.2565393,.5589150039246306,16.713188,3.027201977919787,33.169022,44.35512893833592,16.175323,2.513259934106842,160.08917,1975.173926091377,6.6898546,.058551998430863,7.2243471,.2056790048833936,19.366943,3.632294885724783
BMU,Bermuda,70.125,97.563766,5497.754226115851,88.042114,2673.12279993278,159.98972,2824.63142618307,85.517303,2994.9043,97.173859,2970.3879,,,56.687443,783.4762368208,77.27491,535.5758,51.446754,247.9004368208,,,,,,,.19830182,.000077999997,,,.42475927,.0000780000016093,,,,,,,,,,,,,,,.29131356,.00021100001,.55611557,.0001920000053942,.30034181,.0000189999993891,,,,,,,,,,,,,,
USA,United States,67.425003,93.027,6786,65.271042,1550.8729470874,149.14606,3258.27781675525,43.21814,550.40979,11.327207,6.6988511,,,85.428192,3818,72.470184,629,107.15063,3189,,,,,,,68.085121,4495.0898,65.734993,549.2035262613865,55.778065,251.4915576848053,55.097713,105.6021786598358,75.161057,521.3971603739308,53.005299,75.01101750379708,100.02918,346.865124759242,36.457584,7.279324856206775,51.245815,58.84960855567828,171.5515,2579.389732545942,51.808254,1689.9133,35.917542,73.65343524965644,24.540489,14.75784626454115,9.3079996,.3569839992523193,13.088012,1.860301000356674,33.482025,15.21703100132942,168.00113,1558.375677856445,28.759834,3.17590304517746,35.437298,16.57265687075257,25.918297,5.943376809597015
MUS,Mauritius,70.125,90.56192,4397,99.401184,3847,107.63837,860.175224865486,73.300499,1886,79.944801,1654,47.478722,18,47.967968,474.7,68.182793,367.9,38.855812,106.8,,,,,,,5.5761461,1.734271,3.3377993,.0504959993958473,9.8907976,.9848270142078399,9.0618162,.329952002286911,4.9099798,.1020850035101175,8.7091608,.2336840076446533,,,1.6919475,.0005109999775887,4.3774991,.0257619996964931,2.6861038,.0069539999961853,1.6537926,.038605001,1.2514508,.0021880000308156,.83684534,.000410999994725,,,1.6809585,.0027680001109838,,,,,6.5482564,.0263279991149902,2.9783671,.0069099997803569,,
VGB,British Virgin Islands,70.650002,77.608521,2587.58191035946,86.773567,2393.07332646182,67.060837,194.508583897638,33.711906,171.56042,14.81395,9.8406458,,,,,,,,,,,,,,,4.4932818,.84850001,,,4.0502276,.063234001159668,1.2673514,.0008439999818802,,,1.1918288,.0005600000023842,,,,,,,13.269128,.7838619956970215,,,,,,,,,,,,,,,,,,,,
BHS,Bahamas,75.474998,70.196007,1056.53684782152,,,151.05408,1226.62205839895,69.191139,818.46509,,,,,,,,,,,,,,,,,4.1750107,.37559101,,,,,1.2397988,.0004359999895096,4.2750263,.0347669982910156,,,,,,,,,12.250676,.3403880128860474,2.9269347,.110425,1.0716939,.0007089999939781,6.697876,.1087290037195198,.6999076,.000054999999702,.5970614,.0000640000030398,,,,,1.0042514,.0000489999987185,1.8240534,.0008190000019968,,
ARE,United Arab Emirates,79.224998,63.413906,503.464475378094,48.084587,145.231499561165,115.91191,358.232975816929,51.659908,220.17981,,,,,,,,,,,,,,,,,69.854996,1137.1105,47.17194,47.53607493046368,86.793701,221.9353652381049,110.46218,199.3157710496457,84.584114,174.0544149110921,73.456818,46.76188054644118,115.89713,126.3650994889466,129.30739,76.07222233460844,67.718903,31.80729671112262,121.24134,213.2623717377558,48.24683,319.67047,46.524273,37.49215880394483,12.521169,.4591309961937368,7.9832473,.0527530010230839,15.337352,.7012000006614253,17.412392,.5013009978234768,93.40155,62.72295909400098,190.87036,217.4463428817988,10.41197,.0984549991823733,13.487594,.1961759988069534
CHN,China,66.449997,62.689106,2367.5381,61.270969,1462.557,93.150299,904.9811,18.388559,48.335381,11.191563,7.3661079,,,22.284155,77.2600451,,,29.67906,77.2600451,,,,,,,103.35165,17925.359,84.626183,1335.955412569882,112.11609,2328.471910818375,155.11836,2686.555561349096,124.72174,2716.130612328036,158.85489,2301.987740160504,64.335991,105.2147022002339,153.84579,623.6174419637155,210.08618,4622.692392060556,127.41125,1204.733145892363,56.8339,2543.4541,35.602531,81.78051026660111,18.939726,7.734431040658849,4.1362634,.0357139993477613,7.6860728,.4295459949336946,60.110832,100.3892316026068,183.31552,2308.167949216068,17.476646,.8124869918823242,31.27141,12.98335356888734,43.082577,31.1209677734375
SGP,Singapore,67.25,57.476051,1638.34645718624,52.111656,807.936819065504,93.826851,830.4096381207351,27.098257,138.88977,19.464109,34.793133,,,31.46991,195.378564405113,46.522831,170.344905831631,21.129953,25.0336585734816,,,26.992981,31.6239316239316,,,33.022785,525.02618,33.799164,76.42219818226806,47.811752,162.1418764349893,36.555355,31.5706375914514,33.203129,46.01349476077873,27.710417,10.97121007551346,71.19751,128.0362438755035,7.7118149,.0705269987434149,17.989222,2.605935998518486,50.459904,67.19403438743204,32.918972,443.77661,13.440183,3.950452073061606,16.122843,4.284067945225164,4.9751539,.055803001456894,17.020058,4.187969107806683,2.7219083,.0083690000036731,104.80672,387.3121906280518,30.035421,3.703116990089416,9.1335115,.2904570114724338,48.54808,39.98418423488736
CHE,Switzerland,70.050003,50.485287,769.1242825102361,47.407902,421.388023344882,79.334236,347.736259165354,32.571442,167.07613,,,45.664864,16.16979,37.158211,222.798446581584,5.8938937,.239935713486264,49.471245,222.558510868097,,,,,,,26.090038,179.35822,15.756456,5.363331011519069,42.52174,79.00990144460508,27.60672,9.419589093999937,41.45647,62.04150521018775,24.224035,5.07717388479365,7.6339717,.1093320004343987,24.328291,1.53383100495208,34.378677,12.59944211849198,22.639931,4.204108999099582,35.495533,385.39319,11.358422,1.651742973368382,4.2205815,.0532360005266964,5.6538506,.0567319995835423,7.5764928,.2559069957146421,3.4764841,.012078999735415,118.02074,383.1121459999997,10.16144,.09933199743554,8.2508211,.1483259976590052,2.4765937,.003677000105381
